run_ts,trade_date,city,decision_role,bandit_mode,actual_tmax,selected_action,applied_action,mode_forecast_pred,mode_blend_pred,mode_lstm_pred,error_forecast,error_blend,error_lstm,reward_forecast,reward_blend,reward_lstm,reward_chosen,condition_token,condition_label,sky_label,mean_cloud_cover,vote_entropy,provider_count,updated_actions_json,feature_vector_json
2026-02-20T07:15:38.865398+00:00,2026-02-19,il,monitoring,canary,58.0000,blend,forecast,56.9340,50.4232,24.3800,1.0660,7.5768,33.6200,0.893400,0.242320,0.000000,0.893400,rain,"Rain, Overcast",cloudy,80.8059,0.600297,7,"[""blend"", ""forecast"", ""lstm""]","[0.0, 1.0, 0.0, 0.0, 0.75677066, 0.65368047, 0.0, 0.875, 0.80805884, 0.60029731, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-02-20T07:15:38.865398+00:00,2026-02-19,ny,monitoring,canary,42.0000,blend,forecast,40.3202,37.4866,26.1525,1.6798,4.5134,15.8475,0.832020,0.548660,0.000000,0.832020,cloudy_overcast,Overcast,cloudy,86.1669,0.555958,7,"[""blend"", ""forecast"", ""lstm""]","[1.0, 0.0, 0.0, 0.0, 0.75677066, 0.65368047, 0.0, 0.875, 0.86166942, 0.55595831, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-02-20T11:30:04.554154+00:00,2026-02-19,fl,monitoring,canary,82.0000,blend,forecast,81.3353,79.6084,72.7007,0.6647,2.3916,9.2993,0.933530,0.760840,0.070070,0.933530,partly_cloudy,Partially cloudy,mixed,36.4929,0.423709,7,"[""blend"", ""forecast"", ""lstm""]","[0.0, 0.0, 0.0, 1.0, 0.75677066, 0.65368047, 0.0, 0.875, 0.36492918, 0.42370866, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-02-20T11:30:04.554154+00:00,2026-02-19,il,monitoring,canary,58.0000,blend,forecast,56.9340,50.4232,24.3800,1.0660,7.5768,33.6200,0.893400,0.242320,0.000000,0.893400,rain,"Rain, Overcast",cloudy,80.8059,0.600297,7,"[""blend"", ""forecast"", ""lstm""]","[0.0, 1.0, 0.0, 0.0, 0.75677066, 0.65368047, 0.0, 0.875, 0.80805884, 0.60029731, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-02-20T11:30:04.554154+00:00,2026-02-19,ny,monitoring,canary,42.0000,blend,forecast,40.3202,37.4866,26.1525,1.6798,4.5134,15.8475,0.832020,0.548660,0.000000,0.832020,cloudy_overcast,Overcast,cloudy,86.1669,0.555958,7,"[""blend"", ""forecast"", ""lstm""]","[1.0, 0.0, 0.0, 0.0, 0.75677066, 0.65368047, 0.0, 0.875, 0.86166942, 0.55595831, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-02-20T11:30:04.554154+00:00,2026-02-19,tx,monitoring,canary,85.0000,blend,forecast,84.6994,77.7328,49.8665,0.3006,7.2672,35.1335,0.969940,0.273280,0.000000,0.969940,partly_cloudy,Partially cloudy,mixed,53.3506,0.722318,7,"[""blend"", ""forecast"", ""lstm""]","[0.0, 0.0, 1.0, 0.0, 0.75677066, 0.65368047, 0.0, 0.875, 0.53350626, 0.7223175, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-02-21T07:15:44.747958+00:00,2026-02-20,il,trade,canary,47.0000,forecast,forecast,44.6235,40.5748,24.3800,2.3765,6.4252,22.6200,0.762350,0.357480,0.000000,0.762350,cloudy_overcast,Overcast,cloudy,88.6505,0.648735,7,"[""blend"", ""forecast"", ""lstm""]","[0.0, 1.0, 0.0, 0.0, 0.76788045, 0.64059318, 0.0, 0.875, 0.88650456, 0.64873484, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-02-21T07:15:44.747958+00:00,2026-02-20,ny,trade,canary,37.0000,forecast,forecast,38.3874,35.9405,26.1525,1.3874,1.0595,10.8475,0.861260,0.894050,0.000000,0.861260,snow,"Snow, Rain, Overcast",cloudy,79.1686,0.545012,7,"[""blend"", ""forecast"", ""lstm""]","[1.0, 0.0, 0.0, 0.0, 0.76788045, 0.64059318, 0.175, 0.875, 0.79168642, 0.54501205, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-02-21T11:30:05.157335+00:00,2026-02-20,fl,trade,canary,83.0000,forecast,forecast,83.4264,81.2813,72.7007,0.4264,1.7187,10.2993,0.957360,0.828130,0.000000,0.957360,partly_cloudy,Partially cloudy,sunny,23.2139,0.510816,8,"[""blend"", ""forecast"", ""lstm""]","[0.0, 0.0, 0.0, 1.0, 0.76788045, 0.64059318, 0.0, 1.0, 0.23213938, 0.51081592, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2026-02-21T11:30:05.157335+00:00,2026-02-20,il,trade,canary,47.0000,forecast,forecast,44.6235,40.5748,24.3800,2.3765,6.4252,22.6200,0.762350,0.357480,0.000000,0.762350,cloudy_overcast,Overcast,cloudy,88.6505,0.648735,7,"[""blend"", ""forecast"", ""lstm""]","[0.0, 1.0, 0.0, 0.0, 0.76788045, 0.64059318, 0.0, 0.875, 0.88650456, 0.64873484, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
