logged_at,trade_date,city,series_ticker,event_ticker,market_ticker,market_subtitle,bucket_lo,bucket_hi,yes_ask,yes_bid,ask_qty,bid_qty
2026-03-03T00:00:18.236311-05:00,2026-03-03,ny,KXHIGHNY,KXHIGHNY-26MAR03,KXHIGHNY-26MAR03-T39,38° or below,,38.0,20,19,34,
2026-03-03T00:00:18.236311-05:00,2026-03-03,ny,KXHIGHNY,KXHIGHNY-26MAR03,KXHIGHNY-26MAR03-B39.5,39° to 40°,39.0,40.0,35,32,473,
2026-03-03T00:00:18.236311-05:00,2026-03-03,ny,KXHIGHNY,KXHIGHNY-26MAR03,KXHIGHNY-26MAR03-B41.5,41° to 42°,41.0,42.0,29,28,200,
2026-03-03T00:00:18.236311-05:00,2026-03-03,ny,KXHIGHNY,KXHIGHNY-26MAR03,KXHIGHNY-26MAR03-B43.5,43° to 44°,43.0,44.0,14,13,215,
2026-03-03T00:00:18.236311-05:00,2026-03-03,ny,KXHIGHNY,KXHIGHNY-26MAR03,KXHIGHNY-26MAR03-B45.5,45° to 46°,45.0,46.0,5,3,200,
2026-03-03T00:00:18.236311-05:00,2026-03-03,ny,KXHIGHNY,KXHIGHNY-26MAR03,KXHIGHNY-26MAR03-T46,47° or above,47.0,,3,1,150,
2026-03-03T00:00:18.236311-05:00,2026-03-03,il,KXHIGHCHI,KXHIGHCHI-26MAR03,KXHIGHCHI-26MAR03-T39,38° or below,,38.0,13,11,234,
2026-03-03T00:00:18.236311-05:00,2026-03-03,il,KXHIGHCHI,KXHIGHCHI-26MAR03,KXHIGHCHI-26MAR03-B39.5,39° to 40°,39.0,40.0,17,16,4,
2026-03-03T00:00:18.236311-05:00,2026-03-03,il,KXHIGHCHI,KXHIGHCHI-26MAR03,KXHIGHCHI-26MAR03-B41.5,41° to 42°,41.0,42.0,32,31,150,
2026-03-03T00:00:18.236311-05:00,2026-03-03,il,KXHIGHCHI,KXHIGHCHI-26MAR03,KXHIGHCHI-26MAR03-B43.5,43° to 44°,43.0,44.0,31,30,235,
