date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-18,21.2,13.9,27.8,8.9,0.0,,9.2,,1016.2,
2026-01-19,14.0,8.3,20.0,0.0,0.0,,13.3,,1021.6,
2026-01-20,18.3,13.3,23.3,0.0,0.0,,16.9,,1024.7,
2026-01-21,20.7,20.0,21.7,0.0,0.0,,17.1,,1023.6,
2026-01-22,22.0,19.4,24.4,5.8,0.0,,9.2,,1018.9,
2026-01-23,23.4,20.0,27.8,0.0,0.0,,7.6,,1018.1,
2026-01-24,24.1,20.6,28.3,0.0,0.0,,12.6,,1019.1,
2026-01-25,24.7,22.8,27.8,0.0,0.0,,16.2,,1017.6,
2026-01-26,24.1,13.3,31.1,0.0,0.0,,15.1,,1018.3,
2026-01-27,14.3,10.0,19.4,0.0,0.0,,17.3,,1025.0,
2026-01-28,14.2,10.0,17.8,0.0,0.0,,12.2,,1023.0,
2026-01-29,16.8,10.0,22.2,0.0,0.0,,11.9,,1021.1,
2026-01-30,18.2,16.1,20.0,0.0,,,2.5,,,
2026-01-31,14.8,9.3,16.9,0.0,,,13.9,,1014.1,
