date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-18,-9.7,-13.3,-7.2,0.5,2.0,,22.3,,1015.0,
2026-01-19,-14.2,-17.8,-7.2,0.3,,,25.0,,1021.1,
2026-01-20,-10.2,-16.1,-4.4,0.0,2.0,,15.0,,1025.9,
2026-01-21,-2.1,-4.4,0.6,0.0,2.0,,20.3,,1014.1,
2026-01-22,-7.3,-13.3,-2.2,0.0,,,29.5,,1022.5,
2026-01-23,-20.2,-22.8,-13.3,0.0,0.0,,22.4,,1037.3,
2026-01-24,-17.2,-21.7,-12.8,0.8,,,10.1,,1036.5,
2026-01-25,-11.2,-13.9,-7.2,2.8,,,18.7,,1021.2,
2026-01-26,-15.0,-17.8,-12.8,0.0,13.0,,22.4,,1022.8,
2026-01-27,-11.2,-14.4,-10.0,0.0,8.0,,24.0,,1020.1,
2026-01-28,-12.8,-17.2,-7.8,0.0,5.0,,17.1,,1023.0,
2026-01-29,-12.2,-16.7,-8.3,0.0,5.0,,10.5,,1026.2,
2026-01-30,-10.4,-14.4,-6.7,0.0,,,8.7,,,
2026-01-31,-8.3,-12.9,-5.8,1.2,,,15.9,,1031.3,
