date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-12,2.2,0.0,4.0,0.0,,,13.0,,1020.5,
2026-01-13,5.1,2.0,8.0,0.0,,,11.1,,1015.0,
2026-01-14,8.9,7.0,11.1,0.0,,,7.0,,1003.8,
2026-01-15,2.4,-4.0,8.0,0.0,,,14.8,,997.8,
2026-01-16,-2.6,-6.0,1.0,0.0,,,14.0,,1012.2,
2026-01-17,1.5,0.0,4.0,1.3,,,7.2,,1018.7,
2026-01-18,0.6,-1.0,2.0,0.1,,,5.9,,1015.5,
2026-01-19,-2.3,-6.0,-1.0,0.0,,,12.4,,1014.7,
2026-01-20,-7.1,-9.0,-4.0,0.0,,,14.1,,1027.0,
2026-01-21,-2.7,-8.0,4.0,0.2,,,8.5,,1029.6,
2026-01-22,5.5,3.0,8.0,0.0,,,9.2,,1017.2,
2026-01-23,-0.8,-10.0,2.8,0.0,,,8.0,,,
2026-01-24,-11.2,-13.7,-8.3,0.0,,,14.6,,1037.0,
2026-01-25,-9.4,-12.1,-2.7,27.0,,,14.9,,1027.7,
