date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-11,8.9,3.3,17.2,0.0,0.0,,9.4,,1034.0,
2026-01-12,9.6,2.2,18.3,0.0,0.0,,1.7,,1030.3,
2026-01-13,11.5,7.8,16.1,0.0,0.0,,6.6,,,
2026-01-14,13.4,2.2,20.6,0.0,0.0,,21.5,,,
2026-01-15,10.5,0.0,19.4,0.0,0.0,,11.0,,1021.4,
2026-01-16,13.7,2.2,24.4,0.0,0.0,,20.3,,1015.0,
2026-01-17,7.8,-0.6,13.3,0.0,0.0,,23.2,,1026.5,
2026-01-18,6.9,-4.4,17.8,0.0,0.0,,9.3,,1026.8,
2026-01-19,9.3,-1.1,20.0,0.0,,,5.5,,,
2026-01-20,10.5,4.7,15.5,0.0,,,11.5,,1027.6,
2026-01-21,16.3,13.1,21.5,3.6,,,11.8,,1020.9,
