"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-01",,,,,,,,,"0.00",",,0,2400","    7",",,X","0.0",",,0,","2.0",",,0,",,,"25",",,0","19",",,0","   36",",,X",,,,,,,,,"  360","W,,X",,,,,,,,,,,"12.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-02",,,,,,,,,"0.00",",,0,2400","   88",",,X","0.0",",,0,","2.0",",,0,",,,"30",",,0","18",",,0","  492",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-03",,,,,,,,,"0.04",",,0,2400","    0",",,X","0.0","T,,0,","1.0",",,0,",,,"36",",,0","25",",,0","    0",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-04",,,,,,,,,"0.00",",,0,2400","   90",",,X","0.0",",,0,","1.0",",,0,",,,"31",",,0","20",",,0","  504",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-05",,,,,,,,,"0.00",",,0,2400","   90",",,X","0.0",",,0,","1.0",",,0,",,,"34",",,0","18",",,0","  504",",,X",,,,,,,,,"  225","W,,X",,,,,,,,,,,"15.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-06",,,,,,,,,"0.03",",,0,2400","    0",",,X","0.3",",,0,","1.0",",,0,",,,"35",",,0","25",",,0","    0",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-07",,,,,,,,,"0.13",",,0,2400","    0",",,X","2.0",",,0,","3.0",",,0,",,,"25",",,0","20",",,0","    0",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"27.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-08",,,,,,,,,"0.00","T,,0,2400","    2",",,X","0.0","T,,0,","3.0",",,0,",,,"20",",,0","5",",,0","   12",",,X",,,,,,,,,"  270","W,,X",,,,,,,,,,,"17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-09",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","2.0",",,0,",,,"14",",,0","3",",,0","  570",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"19.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-10",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","2.0",",,0,",,,"31",",,0","8",",,0","  570",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"27.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-11",,,,,,,,,"0.00",",,0,2400","   75",",,X","0.0",",,0,","1.0",",,0,",,,"30",",,0","20",",,0","  426",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-12",,,,,,,,,"0.14",",,0,2400","    0",",,X","2.6",",,0,","3.0",",,0,",,,"28",",,0","23",",,0","    0",",,X",,,,,,,,,"  270","W,,X",,,,,,,,,,,"10.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-13",,,,,,,,,"0.00",",,0,2400","   64",",,X","0.0",",,0,","3.0",",,0,",,,"33",",,0","24",",,0","  366",",,X",,,,,,,,,"  270","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-14",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","2.0",",,0,",,,"24",",,0","14",",,0","  576",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-15",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","2.0",",,0,",,,"28",",,0","11",",,0","  576",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-16",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","2.0",",,0,",,,"37",",,0","19",",,0","  576",",,X",,,,,,,,,"  225","W,,X",,,,,,,,,,,"17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-17",,,,,,,,,"0.02",",,0,2400","    4",",,X","0.0",",,0,","2.0",",,0,",,,"47",",,0","32",",,0","   24",",,X",,,,,,,,,"  225","W,,X",,,,,,,,,,,"16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-18",,,,,,,,,"0.02",",,0,2400","    8",",,X","0.0",",,0,","1.0",",,0,",,,"42",",,0","20",",,0","   48",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-19",,,,,,,,,"0.00",",,0,2400","   66",",,X","0.0",",,0,","1.0",",,0,",,,"23",",,0","12",",,0","  384",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-20",,,,,,,,,"0.16",",,0,2400","   43",",,X","2.0",",,0,","1.0",",,0,",,,"21",",,0","14",",,0","  246",",,X",,,,,,,,,"   90","W,,X",,,,,,,,,,,"14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-21",,,,,,,,,"0.09",",,0,2400","   69",",,X","1.0",",,0,","4.0",",,0,",,,"19",",,0","6",",,0","  408",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-22",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","4.0",",,0,",,,"19",",,0","5",",,0","  588",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-23",,,,,,,,,"0.00","T,,0,2400","   36",",,X","0.0","T,,0,","4.0",",,0,",,,"27",",,0","12",",,0","  210",",,X",,,,,,,,,"  180","W,,X",,,,,,,,,,,"19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-24",,,,,,,,,"0.00",",,0,2400","   97",",,X","0.0",",,0,","3.0",",,0,",,,"27",",,0","15",",,0","  570",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-25",,,,,,,,,"0.03",",,0,2400","    0",",,X","0.5",",,0,","3.0",",,0,",,,"36",",,0","22",",,0","    0",",,X",,,,,,,,,"  180","W,,X",,,,,,,,,,,"15.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-26",,,,,,,,,"0.00","T,,0,2400","    8",",,X","0.0",",,0,","2.0",",,0,",,,"46",",,0","31",",,0","   48",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-27",,,,,,,,,"0.00","T,,0,2400","   39",",,X","0.0","T,,0,","2.0",",,0,",,,"34",",,0","26",",,0","  234",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-28",,,,,,,,,"0.00",",,0,2400","   43",",,X","0.0",",,0,","1.0",",,0,",,,"42",",,0","31",",,0","  258",",,X",,,,,,,,,"  180","W,,X",,,,,,,,,,,"16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-29",,,,,,,,,"0.00","T,,0,2400","    0",",,X","0.0",",,0,","0.0","T,,0,",,,"51",",,0","42",",,0","    0",",,X",,,,,,,,,"  225","W,,X",,,,,,,,,,,"19.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-30",,,,,,,,,"0.00",",,0,2400","   60",",,X","0.0",",,0,","0.0","T,,0,",,,"46",",,0","21",",,0","  366",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-01-31",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","0.0","T,,0,",,,"36",",,0","19",",,0","  606",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-01",,,,,,,,,"0.00",",,0,2400","   92",",,X","0.0",",,0,","0.0",",,0,",,,"51",",,0","33",",,0","  564",",,X",,,,,,,,,"  225","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-02",,,,,,,,,"0.37",",,0,2400","    0",",,X","0.0",",,0,","0.0",",,0,",,,"56",",,0","41",",,0","    0",",,X",,,,,,,,,"  135","W,,X",,,,,,,,,,,"34.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-03",,,,,,,,,"0.89",",,0,2400","    0",",,X","0.5",",,0,","0.0",",,0,",,,"56",",,0","20",",,0","    0",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"28.0",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-04",,,,,,,,,"0.10",",,0,2400","  100",",,X","2.1",",,0,","3.0",",,0,",,,"20",",,0","10",",,0","  612",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-05",,,,,,,,,"0.00","T,,0,2400","   20",",,X","0.0","T,,0,","3.0",",,0,",,,"34",",,0","12",",,0","  126",",,X",,,,,,,,,"  135","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
