date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_hours,wind_speed_10m_max
2026-01-11 00:00:00+00:00,27.05,20.8,33281.62,7.0,10.062305
2026-01-12 00:00:00+00:00,24.5,19.9,6638.5137,13.0,16.74387
2026-01-13 00:00:00+00:00,23.0,20.0,19103.055,8.0,13.248049
2026-01-14 00:00:00+00:00,25.05,19.65,30334.018,8.0,14.602204
2026-01-15 00:00:00+00:00,22.2,15.25,25426.52,3.0,23.269482
2026-01-16 00:00:00+00:00,18.75,6.1,34547.473,0.0,20.015644
2026-01-17 00:00:00+00:00,24.15,15.6,34298.45,2.0,14.98331
2026-01-18 00:00:00+00:00,26.15,19.6,26717.799,7.0,19.25327
2026-01-19 00:00:00+00:00,19.65,8.9,34932.55,0.0,18.671474
2026-01-20 00:00:00+00:00,22.45,13.05,35077.31,0.0,26.496098
2026-01-21 00:00:00+00:00,21.95,20.7,495.56525,5.0,25.560635
2026-01-22 00:00:00+00:00,23.05,20.4,29169.11,12.0,19.48079
2026-01-23 00:00:00+00:00,25.55,19.55,34385.895,4.0,8.905908
2026-01-24 00:00:00+00:00,25.3,21.8,35520.66,7.0,11.345713
