date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_hours,wind_speed_10m_max
2026-01-16 00:00:00+00:00,0.05,-6.15,25935.297,0.0,22.381609
2026-01-17 00:00:00+00:00,1.85,-1.9,536.573,9.0,12.570394
2026-01-18 00:00:00+00:00,0.6,-4.55,0.0,13.0,10.787993
2026-01-19 00:00:00+00:00,-0.1,-6.45,28166.535,4.0,13.556282
2026-01-20 00:00:00+00:00,-3.05,-10.75,31111.713,0.0,17.986494
2026-01-21 00:00:00+00:00,0.1,-14.6,30278.4,0.0,14.973576
2026-01-22 00:00:00+00:00,6.5,0.9,29513.422,2.0,17.864489
2026-01-23 00:00:00+00:00,3.6,-4.65,28534.09,0.0,25.23148
2026-01-24 00:00:00+00:00,-2.2,-13.1,26340.47,0.0,20.821728
2026-01-25 00:00:00+00:00,-7.55,-12.2,0.0,14.0,24.835434
2026-01-26 00:00:00+00:00,-3.1,-7.55,16595.865,8.0,22.431496
2026-01-27 00:00:00+00:00,-6.3,-12.75,24635.994,1.0,21.011482
2026-01-28 00:00:00+00:00,-6.65,-12.85,28742.363,0.0,17.01738
2026-01-29 00:00:00+00:00,-7.75,-14.65,32545.088,0.0,12.503199
