date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_hours,wind_speed_10m_max
2026-01-18 00:00:00+00:00,16.8,-1.4,34243.08,0.0,19.73854
2026-01-19 00:00:00+00:00,18.75,1.1,34299.156,0.0,17.22836
2026-01-20 00:00:00+00:00,14.85,4.25,18127.23,0.0,16.029097
2026-01-21 00:00:00+00:00,22.7,12.85,22220.816,8.0,18.917133
2026-01-22 00:00:00+00:00,21.2,12.6,28383.371,0.0,12.594856
2026-01-23 00:00:00+00:00,20.95,14.1,5306.117,11.0,16.886454
2026-01-24 00:00:00+00:00,17.9,0.8,0.0,16.0,26.337881
2026-01-25 00:00:00+00:00,-0.35,-5.15,28424.371,12.0,24.07563
2026-01-26 00:00:00+00:00,2.1,-6.75,34686.78,0.0,23.623928
2026-01-27 00:00:00+00:00,7.7,-6.2,34864.965,0.0,12.2519045
2026-01-28 00:00:00+00:00,12.25,-1.7,33560.715,0.0,11.631956
2026-01-29 00:00:00+00:00,18.75,0.45,34762.496,0.0,19.091883
2026-01-30 00:00:00+00:00,16.15,3.15,28607.486,0.0,18.448023
2026-01-31 00:00:00+00:00,9.8,-0.15,33992.008,0.0,23.120018
