date,city,source_name,predicted_tmax,actual_tmax,absolute_error
2026-01-25,fl,consensus,79.1937,82.0,2.8063
2026-01-25,fl,open-meteo,77.7000,82.0,4.3000
2026-01-25,fl,tomorrow,77.7400,82.0,4.2600
2026-01-25,fl,visual-crossing,79.5000,82.0,2.5000
2026-01-25,fl,weatherapi,78.3000,82.0,3.7000
2026-01-25,il,consensus,18.3600,19.0,0.6400
2026-01-25,il,open-meteo,18.6000,19.0,0.4000
2026-01-25,il,tomorrow,18.4300,19.0,0.5700
2026-01-25,il,visual-crossing,18.9000,19.0,0.1000
2026-01-25,il,weatherapi,20.3000,19.0,1.3000
2026-01-25,ny,consensus,27.8788,22.0,5.8788
2026-01-25,ny,open-meteo,26.8000,22.0,4.8000
2026-01-25,ny,tomorrow,31.2100,22.0,9.2100
2026-01-25,ny,visual-crossing,27.9000,22.0,5.9000
2026-01-25,ny,weatherapi,25.3000,22.0,3.3000
2026-01-25,tx,consensus,28.2250,29.0,0.7750
2026-01-25,tx,open-meteo,28.3000,29.0,0.7000
2026-01-25,tx,tomorrow,26.3300,29.0,2.6700
2026-01-25,tx,visual-crossing,29.0000,29.0,0.0000
2026-01-25,tx,weatherapi,26.2000,29.0,2.8000
2026-01-28,fl,consensus,65.0726,64.0,1.0726
2026-01-28,fl,open-meteo,64.2000,64.0,0.2000
2026-01-28,fl,tomorrow,64.2000,64.0,0.2000
2026-01-28,fl,visual-crossing,65.9000,64.0,1.9000
2026-01-28,fl,weatherapi,62.8000,64.0,1.2000
2026-01-28,il,consensus,15.8760,18.0,2.1240
2026-01-28,il,open-meteo,17.1000,18.0,0.9000
2026-01-28,il,tomorrow,17.1900,18.0,0.8100
2026-01-28,il,visual-crossing,16.1000,18.0,1.9000
2026-01-28,il,weatherapi,22.8000,18.0,4.8000
2026-01-28,ny,consensus,22.0744,23.0,0.9256
2026-01-28,ny,open-meteo,23.6000,23.0,0.6000
2026-01-28,ny,tomorrow,23.2700,23.0,0.2700
2026-01-28,ny,visual-crossing,22.0000,23.0,1.0000
2026-01-28,ny,weatherapi,23.7000,23.0,0.7000
2026-01-28,tx,consensus,53.3457,58.0,4.6543
2026-01-28,tx,open-meteo,53.7000,58.0,4.3000
2026-01-28,tx,tomorrow,52.3600,58.0,5.6400
2026-01-28,tx,visual-crossing,53.0000,58.0,5.0000
2026-01-28,tx,weatherapi,57.6000,58.0,0.4000
2026-01-29,fl,consensus,69.8162,72.0,2.1838
2026-01-29,fl,open-meteo,67.9000,72.0,4.1000
2026-01-29,fl,tomorrow,67.9600,72.0,4.0400
2026-01-29,fl,visual-crossing,70.1000,72.0,1.9000
