run_ts,as_of,city,window_days,weights_json
2026-01-24T02:15:53.023550-05:00,2026-01-23,ny,14,{}
2026-01-24T02:15:53.023550-05:00,2026-01-23,il,14,{}
2026-01-24T02:15:53.023550-05:00,2026-01-23,tx,14,{}
2026-01-24T02:15:53.023550-05:00,2026-01-23,fl,14,{}
2026-01-24T09:48:28.245273-05:00,2026-01-23,ny,14,{}
2026-01-24T09:48:28.245273-05:00,2026-01-23,il,14,{}
2026-01-24T09:48:28.245273-05:00,2026-01-23,tx,14,{}
2026-01-24T09:48:28.245273-05:00,2026-01-23,fl,14,{}
2026-01-24T09:55:17.737988-05:00,2026-01-23,ny,14,{}
2026-01-24T09:55:17.737988-05:00,2026-01-23,il,14,{}
2026-01-24T09:55:17.737988-05:00,2026-01-23,tx,14,{}
2026-01-24T09:55:17.737988-05:00,2026-01-23,fl,14,{}
2026-01-24T12:12:39.489298-05:00,2026-01-23,ny,14,{}
2026-01-24T12:12:39.489298-05:00,2026-01-23,il,14,{}
2026-01-24T12:12:39.489298-05:00,2026-01-23,tx,14,{}
2026-01-24T12:12:39.489298-05:00,2026-01-23,fl,14,{}
2026-01-25T02:15:36.188418-05:00,2026-01-24,ny,14,"{""consensus"": 0.9159890059852793, ""lstm"": 0.08401099401472073}"
2026-01-25T02:15:36.188418-05:00,2026-01-24,il,14,"{""consensus"": 0.9999810052626588, ""lstm"": 1.899473734123737e-05}"
2026-01-25T02:15:36.188418-05:00,2026-01-24,tx,14,"{""consensus"": 0.962656128182825, ""lstm"": 0.037343871817175044}"
2026-01-25T02:15:36.188418-05:00,2026-01-24,fl,14,"{""consensus"": 0.7403430951738978, ""lstm"": 0.2596569048261021}"
2026-01-25T02:15:36.274845-05:00,2026-01-24,ny,14,"{""consensus"": 0.9159890059852793, ""lstm"": 0.08401099401472073}"
2026-01-25T02:15:36.274845-05:00,2026-01-24,il,14,"{""consensus"": 0.9999810052626588, ""lstm"": 1.899473734123737e-05}"
2026-01-25T02:15:36.274845-05:00,2026-01-24,tx,14,"{""consensus"": 0.962656128182825, ""lstm"": 0.037343871817175044}"
2026-01-25T02:15:36.274845-05:00,2026-01-24,fl,14,"{""consensus"": 0.7403430951738978, ""lstm"": 0.2596569048261021}"
2026-01-25T10:13:01.365736-05:00,2026-01-24,ny,14,"{""consensus"": 0.9159890059852793, ""lstm"": 0.08401099401472073}"
2026-01-25T10:13:01.365736-05:00,2026-01-24,il,14,"{""consensus"": 0.9999810052626588, ""lstm"": 1.899473734123737e-05}"
2026-01-25T10:13:01.365736-05:00,2026-01-24,tx,14,"{""consensus"": 0.962656128182825, ""lstm"": 0.037343871817175044}"
2026-01-25T10:13:01.365736-05:00,2026-01-24,fl,14,"{""consensus"": 0.7403430951738978, ""lstm"": 0.2596569048261021}"
2026-01-25T12:29:10.454787-05:00,2026-01-24,ny,14,"{""consensus"": 0.9159890059852793, ""lstm"": 0.08401099401472073}"
2026-01-25T12:29:10.454787-05:00,2026-01-24,il,14,"{""consensus"": 0.9999810052626588, ""lstm"": 1.899473734123737e-05}"
2026-01-25T12:29:10.454787-05:00,2026-01-24,tx,14,"{""consensus"": 0.962656128182825, ""lstm"": 0.037343871817175044}"
2026-01-25T12:29:10.454787-05:00,2026-01-24,fl,14,"{""consensus"": 0.7403430951738978, ""lstm"": 0.2596569048261021}"
2026-01-25T12:32:37.505810-05:00,2026-01-24,ny,14,"{""consensus"": 0.014592309530646294, ""lstm"": 0.0007022628660218113, ""open-meteo"": 0.0006560796795410584, ""openweathermap"": 0.6382643639798242, ""pirateweather"": 0.2112776014374949, ""tomorrow"": 0.039891522748739014, ""visual-crossing"": 0.03118831961386178, ""weather.gov"": 0.05003992613601822, ""weatherapi"": 0.013387614007852678}"
2026-01-25T12:32:37.505810-05:00,2026-01-24,il,14,"{""consensus"": 0.19572916634118928, ""lstm"": 0.00033801729479509434, ""open-meteo"": 0.03483558648992357, ""openweathermap"": 0.01777325841322631, ""pirateweather"": 0.018094939821078713, ""tomorrow"": 0.04422689020740148, ""weather.gov"": 0.6881103504182435, ""weatherapi"": 0.0008917910141420435}"
2026-01-25T12:32:37.505810-05:00,2026-01-24,tx,14,"{""consensus"": 0.43034924670626395, ""lstm"": 0.013072415283508802, ""open-meteo"": 0.0014221760611697813, ""openweathermap"": 0.006704231709943889, ""pirateweather"": 0.00620242265351057, ""tomorrow"": 0.008556345829038556, ""visual-crossing"": 0.5085043397557804, ""weather.gov"": 0.00968642212412756, ""weatherapi"": 0.015502399876656445}"
2026-01-25T12:32:37.505810-05:00,2026-01-24,fl,14,"{""consensus"": 0.09612778369691297, ""lstm"": 0.052977619671501046, ""open-meteo"": 0.038038347662251934, ""openweathermap"": 0.16798073085462029, ""pirateweather"": 0.1922375481278401, ""tomorrow"": 0.034501902641498355, ""visual-crossing"": 0.3199025038395388, ""weather.gov"": 0.03213800486130373, ""weatherapi"": 0.0660955586445328}"
2026-01-26T02:15:39.301071-05:00,2026-01-25,ny,14,"{""consensus"": 0.014592309530646294, ""lstm"": 0.0007022628660218113, ""open-meteo"": 0.0006560796795410584, ""openweathermap"": 0.6382643639798242, ""pirateweather"": 0.2112776014374949, ""tomorrow"": 0.039891522748739014, ""visual-crossing"": 0.03118831961386178, ""weather.gov"": 0.05003992613601822, ""weatherapi"": 0.013387614007852678}"
2026-01-26T02:15:39.301071-05:00,2026-01-25,il,14,"{""consensus"": 0.19572916634118928, ""lstm"": 0.00033801729479509434, ""open-meteo"": 0.03483558648992357, ""openweathermap"": 0.01777325841322631, ""pirateweather"": 0.018094939821078713, ""tomorrow"": 0.04422689020740148, ""weather.gov"": 0.6881103504182435, ""weatherapi"": 0.0008917910141420435}"
2026-01-26T02:15:39.301071-05:00,2026-01-25,tx,14,"{""consensus"": 0.43034924670626395, ""lstm"": 0.013072415283508802, ""open-meteo"": 0.0014221760611697813, ""openweathermap"": 0.006704231709943889, ""pirateweather"": 0.00620242265351057, ""tomorrow"": 0.008556345829038556, ""visual-crossing"": 0.5085043397557804, ""weather.gov"": 0.00968642212412756, ""weatherapi"": 0.015502399876656445}"
2026-01-26T02:15:39.301071-05:00,2026-01-25,fl,14,"{""consensus"": 0.09612778369691297, ""lstm"": 0.052977619671501046, ""open-meteo"": 0.038038347662251934, ""openweathermap"": 0.16798073085462029, ""pirateweather"": 0.1922375481278401, ""tomorrow"": 0.034501902641498355, ""visual-crossing"": 0.3199025038395388, ""weather.gov"": 0.03213800486130373, ""weatherapi"": 0.0660955586445328}"
2026-01-26T02:15:39.321367-05:00,2026-01-25,ny,14,"{""consensus"": 0.02868349971391009, ""lstm"": 0.002545697149294958, ""open-meteo"": 0.0016679155260903565, ""openweathermap"": 0.5270367087805937, ""pirateweather"": 0.10733391907421215, ""tomorrow"": 0.09130169894405082, ""visual-crossing"": 0.11305740367858498, ""weather.gov"": 0.0994603144772972, ""weatherapi"": 0.028912842655965675}"
2026-01-26T02:15:39.321367-05:00,2026-01-25,il,14,"{""consensus"": 0.014584024362656023, ""lstm"": 0.004159264353959636, ""open-meteo"": 0.007620407613871389, ""openweathermap"": 0.23029794672002432, ""pirateweather"": 0.4065753960187261, ""tomorrow"": 0.26294486832351965, ""weather.gov"": 0.05537858776380111, ""weatherapi"": 0.018439504843441878}"
2026-01-26T02:15:39.321367-05:00,2026-01-25,tx,14,"{""consensus"": 0.43034924670626395, ""lstm"": 0.013072415283508802, ""open-meteo"": 0.0014221760611697813, ""openweathermap"": 0.006704231709943889, ""pirateweather"": 0.00620242265351057, ""tomorrow"": 0.008556345829038556, ""visual-crossing"": 0.5085043397557804, ""weather.gov"": 0.00968642212412756, ""weatherapi"": 0.015502399876656445}"
2026-01-26T02:15:39.321367-05:00,2026-01-25,fl,14,"{""consensus"": 0.09612778369691297, ""lstm"": 0.052977619671501046, ""open-meteo"": 0.038038347662251934, ""openweathermap"": 0.16798073085462029, ""pirateweather"": 0.1922375481278401, ""tomorrow"": 0.034501902641498355, ""visual-crossing"": 0.3199025038395388, ""weather.gov"": 0.03213800486130373, ""weatherapi"": 0.0660955586445328}"
2026-01-26T06:30:04.558261-05:00,2026-01-25,ny,14,"{""consensus"": 0.03018159637689962, ""lstm"": 0.0031957670358948214, ""open-meteo"": 0.0018962825760179957, ""openweathermap"": 0.488862536360152, ""pirateweather"": 0.0942750752902621, ""tomorrow"": 0.10120676658996046, ""visual-crossing"": 0.14192777170683513, ""weather.gov"": 0.10682830963943096, ""weatherapi"": 0.03162589442454689}"
2026-01-26T06:30:04.558261-05:00,2026-01-25,il,14,"{""consensus"": 0.008019436931841381, ""lstm"": 0.0040017309211023665, ""open-meteo"": 0.0045397544810215785, ""openweathermap"": 0.22524556672499849, ""pirateweather"": 0.49360585649444944, ""tomorrow"": 0.21088513372093629, ""weather.gov"": 0.03215605845029165, ""weatherapi"": 0.021546462275358794}"
2026-01-26T06:30:04.558261-05:00,2026-01-25,tx,14,"{""consensus"": 0.479325696996535, ""lstm"": 0.011396059164119763, ""open-meteo"": 0.0010273217536142013, ""openweathermap"": 0.009472527716937885, ""pirateweather"": 0.008035904746017253, ""tomorrow"": 0.012559944183814674, ""visual-crossing"": 0.4432957043813478, ""weather.gov"": 0.01086118433797257, ""weatherapi"": 0.02402565671964082}"
2026-01-26T06:30:04.558261-05:00,2026-01-25,fl,14,"{""consensus"": 0.10631018226878966, ""lstm"": 0.05485043712776549, ""open-meteo"": 0.0021609019476719494, ""openweathermap"": 0.14335673961587006, ""pirateweather"": 0.16483869057218442, ""tomorrow"": 0.041612340826215836, ""visual-crossing"": 0.33121141120850617, ""weather.gov"": 0.03934911636526322, ""weatherapi"": 0.11631018006773326}"
2026-01-26T09:52:10.798485-05:00,2026-01-25,ny,14,"{""consensus"": 0.03271740726107086, ""google-weather"": 0.15405218916377442, ""lstm"": 0.003959683524611497, ""open-meteo"": 0.0036992813141716557, ""openweathermap"": 0.29556661502542486, ""pirateweather"": 0.1063394746016572, ""tomorrow"": 0.11441243986366326, ""visual-crossing"": 0.17585420119806033, ""weather.gov"": 0.07797491861905213, ""weatherapi"": 0.03542378942851375}"
2026-01-26T09:52:10.798485-05:00,2026-01-25,il,14,"{""consensus"": 0.0005270273176130606, ""google-weather"": 0.0015602167378440798, ""lstm"": 0.0003784780838788454, ""open-meteo"": 0.03900541844610199, ""openweathermap"": 0.02635006688045922, ""pirateweather"": 0.011622521094828126, ""tomorrow"": 0.017497379273085367, ""visual-crossing"": 0.89868484099819, ""weather.gov"": 0.0019697219263275847, ""weatherapi"": 0.0024043292416717327}"
2026-01-26T09:52:10.798485-05:00,2026-01-25,tx,14,"{""consensus"": 0.4105124560350561, ""google-weather"": 0.2042782286907543, ""lstm"": 0.00802741475104589, ""open-meteo"": 0.0008733196463258579, ""openweathermap"": 0.008726661149343114, ""pirateweather"": 0.006944773468460528, ""tomorrow"": 0.013112179497564191, ""visual-crossing"": 0.3122586874267927, ""weather.gov"": 0.008822939857429714, ""weatherapi"": 0.026443339477227625}"
2026-01-26T09:52:10.798485-05:00,2026-01-25,fl,14,"{""consensus"": 0.10011968956121808, ""google-weather"": 0.07895807729245018, ""lstm"": 0.04921243181427487, ""open-meteo"": 0.0019387856382881632, ""openweathermap"": 0.11964308363470193, ""pirateweather"": 0.1217973852827744, ""tomorrow"": 0.0411589883139201, ""visual-crossing"": 0.29716661969786545, ""weather.gov"": 0.03396281541969194, ""weatherapi"": 0.15604212334481482}"
2026-01-27T02:15:36.450069-05:00,2026-01-26,ny,14,"{""consensus"": 0.03355898752180412, ""google-weather"": 0.28138086109973826, ""lstm"": 0.004408361279423397, ""open-meteo"": 0.004848774986028246, ""openweathermap"": 0.238568832314231, ""pirateweather"": 0.10980586824040933, ""tomorrow"": 0.10227446808262416, ""visual-crossing"": 0.12850916530185424, ""weather.gov"": 0.057626279880654524, ""weatherapi"": 0.03901840129323272}"
2026-01-27T02:15:36.450069-05:00,2026-01-26,il,14,"{""consensus"": 0.0044465861398422235, ""google-weather"": 0.038964198183659336, ""lstm"": 0.0022219486252505936, ""open-meteo"": 0.11061285758600509, ""openweathermap"": 0.1941741717460264, ""pirateweather"": 0.11369241876367397, ""tomorrow"": 0.08041429739954259, ""visual-crossing"": 0.42741169356073455, ""weather.gov"": 0.01743462867047322, ""weatherapi"": 0.010627199324792}"
2026-01-27T02:15:36.450069-05:00,2026-01-26,tx,14,"{""consensus"": 0.4105124560350561, ""google-weather"": 0.2042782286907543, ""lstm"": 0.00802741475104589, ""open-meteo"": 0.0008733196463258579, ""openweathermap"": 0.008726661149343114, ""pirateweather"": 0.006944773468460528, ""tomorrow"": 0.013112179497564191, ""visual-crossing"": 0.3122586874267927, ""weather.gov"": 0.008822939857429714, ""weatherapi"": 0.026443339477227625}"
2026-01-27T02:15:36.450069-05:00,2026-01-26,fl,14,"{""consensus"": 0.10011968956121808, ""google-weather"": 0.07895807729245018, ""lstm"": 0.04921243181427487, ""open-meteo"": 0.0019387856382881632, ""openweathermap"": 0.11964308363470193, ""pirateweather"": 0.1217973852827744, ""tomorrow"": 0.0411589883139201, ""visual-crossing"": 0.29716661969786545, ""weather.gov"": 0.03396281541969194, ""weatherapi"": 0.15604212334481482}"
2026-01-27T02:15:36.450073-05:00,2026-01-26,ny,14,"{""consensus"": 0.03271740726107086, ""google-weather"": 0.15405218916377442, ""lstm"": 0.003959683524611497, ""open-meteo"": 0.0036992813141716557, ""openweathermap"": 0.29556661502542486, ""pirateweather"": 0.1063394746016572, ""tomorrow"": 0.11441243986366326, ""visual-crossing"": 0.17585420119806033, ""weather.gov"": 0.07797491861905213, ""weatherapi"": 0.03542378942851375}"
2026-01-27T02:15:36.450073-05:00,2026-01-26,il,14,"{""consensus"": 0.0005270273176130606, ""google-weather"": 0.0015602167378440798, ""lstm"": 0.0003784780838788454, ""open-meteo"": 0.03900541844610199, ""openweathermap"": 0.02635006688045922, ""pirateweather"": 0.011622521094828126, ""tomorrow"": 0.017497379273085367, ""visual-crossing"": 0.89868484099819, ""weather.gov"": 0.0019697219263275847, ""weatherapi"": 0.0024043292416717327}"
2026-01-27T02:15:36.450073-05:00,2026-01-26,tx,14,"{""consensus"": 0.4105124560350561, ""google-weather"": 0.2042782286907543, ""lstm"": 0.00802741475104589, ""open-meteo"": 0.0008733196463258579, ""openweathermap"": 0.008726661149343114, ""pirateweather"": 0.006944773468460528, ""tomorrow"": 0.013112179497564191, ""visual-crossing"": 0.3122586874267927, ""weather.gov"": 0.008822939857429714, ""weatherapi"": 0.026443339477227625}"
2026-01-27T02:15:36.450073-05:00,2026-01-26,fl,14,"{""consensus"": 0.10011968956121808, ""google-weather"": 0.07895807729245018, ""lstm"": 0.04921243181427487, ""open-meteo"": 0.0019387856382881632, ""openweathermap"": 0.11964308363470193, ""pirateweather"": 0.1217973852827744, ""tomorrow"": 0.0411589883139201, ""visual-crossing"": 0.29716661969786545, ""weather.gov"": 0.03396281541969194, ""weatherapi"": 0.15604212334481482}"
2026-01-27T06:30:30.004110-05:00,2026-01-26,ny,14,"{""consensus"": 0.0354259864411124, ""google-weather"": 0.2996016410864923, ""lstm"": 0.004784464765381617, ""open-meteo"": 0.005514111870473481, ""openweathermap"": 0.22579906849369002, ""pirateweather"": 0.11553820002355913, ""tomorrow"": 0.10091634356727075, ""visual-crossing"": 0.11733410368294717, ""weather.gov"": 0.05273658423073998, ""weatherapi"": 0.04234949583833312}"
